week,trx,qty,avg_price,disc_share,cust,revenue
2025-12-15,463,588,224219,0.3305,313,223261833
2025-12-22,346,399,171741129,0.3295,253,519263575
2025-12-29,284,341,222192,0.3451,224,112943364
2026-01-05,386,1938,70023,0.4119,299,597298516
2026-01-12,328,634,623999340,0.4146,287,358892149
2026-01-19,339,726,1183676795,0.2301,284,301903250
2026-01-26,363,1386,117780,0.135,267,569881934
2026-02-02,350,381,266332,0.2571,271,180786450
2026-02-09,348,382,264031,0.2213,275,175974107
2026-02-16,287,318,267316,0.2787,239,117732168
2026-02-23,369,390,330398,0.3523,292,153586351
2026-03-02,375,403,354382,0.2827,305,182721774
2026-03-09,336,589,247052,0.2381,288,325085798
2026-03-16,231,257,290765,0.3463,205,82670026
2026-03-23,284,299,397680,0.338,250,112164399
2026-03-30,256,263,1055419,0.3516,223,127709287
2026-04-06,293,629,448095,0.3584,256,272961234
2026-04-13,310,389,775276,0.3871,271,171427318
2026-04-20,175,190,427042,0.36,162,90681080
2026-05-11,1,1,3090919,0.0,1,3090919
